,date,FFR
5704,1984-04-07,10.5
5705,1984-04-08,10.5
5706,1984-04-09,10.5
5707,1984-04-10,10.5
5708,1984-04-11,10.5
5709,1984-04-12,10.5
5710,1984-04-13,10.5
5711,1984-04-14,10.5
5712,1984-04-15,10.5
5713,1984-04-16,10.5
5714,1984-04-17,10.5
5715,1984-04-18,10.5
5716,1984-04-19,10.5
5717,1984-04-20,10.5
5718,1984-04-21,10.5
5719,1984-04-22,10.5
5720,1984-04-23,10.5
5721,1984-04-24,10.5
5722,1984-04-25,10.5
5723,1984-04-26,10.5
5724,1984-04-27,10.5
5725,1984-04-28,10.5
5726,1984-04-29,10.5
5727,1984-04-30,10.5
5728,1984-05-01,10.5
5729,1984-05-02,10.5
5730,1984-05-03,10.5
5731,1984-05-04,10.5
5732,1984-05-05,10.5
5733,1984-05-06,10.5
5734,1984-05-07,10.5
5735,1984-05-08,10.5
5736,1984-05-09,10.5
5737,1984-05-10,10.5
5738,1984-05-11,10.5
5739,1984-05-12,10.5
5740,1984-05-13,10.5
5741,1984-05-14,10.5
5742,1984-05-15,10.5
5743,1984-05-16,10.5
5744,1984-05-17,10.5
5745,1984-05-18,10.5
5746,1984-05-19,10.5
5747,1984-05-20,10.5
5748,1984-05-21,10.5
5749,1984-05-22,10.5
5750,1984-05-23,10.5
5751,1984-05-24,10.5
5752,1984-05-25,10.5
5753,1984-05-26,10.5
5754,1984-05-27,10.5
5755,1984-05-28,10.5
5756,1984-05-29,10.5
5757,1984-05-30,10.5
5758,1984-05-31,10.5
5759,1984-06-01,10.5
5760,1984-06-02,10.5
5761,1984-06-03,10.5
5762,1984-06-04,10.5
5763,1984-06-05,10.5
5764,1984-06-06,10.5
5765,1984-06-07,10.5
5766,1984-06-08,10.5
5767,1984-06-09,10.5
5768,1984-06-10,10.5
5769,1984-06-11,10.5
5770,1984-06-12,10.5
5771,1984-06-13,10.5
5772,1984-06-14,10.5
5773,1984-06-15,10.5
5774,1984-06-16,10.5
5775,1984-06-17,10.5
5776,1984-06-18,10.5
5777,1984-06-19,10.5
5778,1984-06-20,10.5
5779,1984-06-21,10.5
5780,1984-06-22,10.5
5781,1984-06-23,10.5
5782,1984-06-24,10.5
5783,1984-06-25,10.5
5784,1984-06-26,10.5
5785,1984-06-27,10.5
5786,1984-06-28,10.5
5787,1984-06-29,10.5
5788,1984-06-30,10.5
5789,1984-07-01,10.5
5790,1984-07-02,10.5
5791,1984-07-03,10.5
5792,1984-07-04,10.5
5793,1984-07-05,11.0
5794,1984-07-06,11.0
5795,1984-07-07,11.0
5796,1984-07-08,11.0
5797,1984-07-09,11.0
5798,1984-07-10,11.0
5799,1984-07-11,11.0
5800,1984-07-12,11.0
5801,1984-07-13,11.0
5802,1984-07-14,11.0
5803,1984-07-15,11.0
5804,1984-07-16,11.0
5805,1984-07-17,11.0
5806,1984-07-18,11.0
5807,1984-07-19,11.25
5808,1984-07-20,11.25
5809,1984-07-21,11.25
5810,1984-07-22,11.25
5811,1984-07-23,11.25
5812,1984-07-24,11.25
5813,1984-07-25,11.25
5814,1984-07-26,11.25
5815,1984-07-27,11.25
5816,1984-07-28,11.25
5817,1984-07-29,11.25
5818,1984-07-30,11.25
5819,1984-07-31,11.25
5820,1984-08-01,11.25
5821,1984-08-02,11.25
5822,1984-08-03,11.25
5823,1984-08-04,11.25
5824,1984-08-05,11.25
5825,1984-08-06,11.25
5826,1984-08-07,11.25
5827,1984-08-08,11.25
5828,1984-08-09,11.5
5829,1984-08-10,11.5
5830,1984-08-11,11.5
5831,1984-08-12,11.5
5832,1984-08-13,11.5
5833,1984-08-14,11.5
5834,1984-08-15,11.5
5835,1984-08-16,11.5
5836,1984-08-17,11.5
5837,1984-08-18,11.5
5838,1984-08-19,11.5
5839,1984-08-20,11.5
5840,1984-08-21,11.5
5841,1984-08-22,11.5
5842,1984-08-23,11.5
5843,1984-08-24,11.5
5844,1984-08-25,11.5
